text,label,difficulty
"Am scris codul acesta și vreau să fac personajul să sară, dar el pur și simplu zboară în sus fără să mai cadă. Îmi poți explica de ce?",code_help,0
"Ajutor cu eroarea asta: am pus blocul 'atunci când se dă clic pe acest sprite', dar nu se întâmplă nimic când apăs. Nu găsesc rezolvarea pe Google.",code_help,0
"Salut, am o problemă: am o problemă cu un pointer care devine NULL după ce ies dintr-o buclă, deși nu l-am modificat. Mersi anticipat!",code_help,2
Ajutor cu eroarea asta: consola afișează 'Memory Error' imediat după ce introduc datele de intrare. Ce înseamnă? Nu găsesc rezolvarea pe Google.,code_help,2
"Ajutor cu eroarea asta: am eroarea 'invalid syntax' chiar la începutul fișierului, dar codul pare corect. Ce am greșit?",code_help,1
"Codul meu are un bug: am încercat să folosesc 'free()' pe un pointer, dar programul crapă cu mesajul 'double free or corruption'. Ce am greșit?",code_help,2
"Nu înțeleg de ce am încercat să folosesc 'free()' pe un pointer, dar programul crapă cu mesajul 'double free or corruption'. E frustrant, ajutor!",code_help,2
M-am blocat aici: de ce îmi dă eroare la 'printf' în C dacă nu includ 'stdio.h'? Mersi anticipat!,code_help,1
De ce se întâmplă că de ce fundalul se schimbă la nivelul următor înainte să termin toate sarcinile? Cum pot repara asta?,code_help,1
"Salut, am o problemă: am pus două puncte (:) la finalul liniei în Python, dar tot îmi dă eroare de sintaxă. Unde este eroarea?",code_help,1
"Codul meu are un bug: am o listă care pare goală când o printez, deși am folosit 'append' de mai multe ori. Îmi poți explica de ce?",code_help,1
"Salut, am o problemă: ce înseamnă 'NameError: name 'x' is not defined' dacă am declarat variabila mai sus? E frustrant, ajutor!",code_help,1
"Salut, am o problemă: am făcut un sistem de vieți, dar scade câte 10 vieți deodată în loc de una singură. Ce am greșit?",code_help,1
"Întrebare despre cod: python îmi dă 'RecursionError' la o funcție de căutare binară, de ce? Nu găsesc rezolvarea pe Google.",code_help,2
"M-am blocat aici: am o listă care pare goală când o printez, deși am folosit 'append' de mai multe ori. Cum pot repara asta?",code_help,1
"Ajutor cu eroarea asta: de ce îmi dă crash programul în C când încerc să printez un șir de caractere lung? E frustrant, ajutor!",code_help,1
"Ajutor cu eroarea asta: am încercat să folosesc 'free()' pe un pointer, dar programul crapă cu mesajul 'double free or corruption'. Unde este eroarea?",code_help,2
"Întrebare despre cod: în loc de text, în consolă apar doar niște pătrățele și simboluri ciudate. Mersi anticipat!",code_help,1
Nu înțeleg de ce rezultatul adunării este mereu cu 1 mai mic decât ar trebui să fie. Cred că e o eroare de indexare. Mersi anticipat!,code_help,1
Codul meu are un bug: cum scapi de 'expected expression' în C la un bloc 'switch-case'? Unde este eroarea?,code_help,1
"Ajutor cu eroarea asta: media aritmetică îmi dă mereu 0 sau 1, chiar dacă numerele sunt mari. E ceva cu tipul de date? Îmi poți explica de ce?",code_help,1
"Întrebare despre cod: python îmi zice 'unindent does not match any outer indentation level'. Cum găsesc unde e greșeala? E frustrant, ajutor!",code_help,1
"Ajutor cu eroarea asta: de ce fundalul se schimbă la nivelul următor înainte să termin toate sarcinile? E frustrant, ajutor!",code_help,1
"Codul meu are un bug: iau un 'segfault' (segmentation fault) exact când încerc să atribui o valoare în array, deși am alocat memorie. Unde este eroarea?",code_help,2
"De ce se întâmplă că am făcut un sistem de vieți, dar scade câte 10 vieți deodată în loc de una singură. Mersi anticipat!",code_help,1
De ce se întâmplă că ce înseamnă 'NameError: name 'x' is not defined' dacă am declarat variabila mai sus? Ce am greșit?,code_help,1
