text,label,difficulty
Dă-mi un punct de plecare cum să folosesc un mesaj broadcast ca să pornesc nivelul 2 - nu știu ce funcție să folosesc aici.,hint_request,1
"Vreau doar o mică direcție cum să detectez când mouse-ul este apăsat deasupra unui buton, te rog frumos.",hint_request,1
"Am nevoie de o sugestie pentru rezolvarea problemei palindromului fără a folosi slicing de nivel avansat, dacă se poate.",hint_request,1
Poți să mă ajuți cu o idee despre cum să trimit argumente variabile către o funcție (*args). Sunt la început și e greu.,hint_request,1
"Nu-mi da soluția, ci doar un hint cum să citesc un fișier CSV și să extrag doar o coloană anume pentru proiectul meu.",hint_request,1
"Îmi poți da o mână de ajutor cu un hint pentru a schimba fundalul doar când scorul ajunge la 10 de nivel avansat, dacă se poate.",hint_request,1
"Dă-mi un punct de plecare pentru rezolvarea problemei palindromului fără a folosi slicing de nivel avansat, dacă se poate.",hint_request,1
Îmi poți da o mână de ajutor cu un hint pentru a inversa un string folosind o metodă recursivă - nu știu ce funcție să folosesc aici.,hint_request,2
"Îmi poți da o mână de ajutor cu un hint referitor la clonarea inamicilor la intervale de timp, te rog frumos.",hint_request,1
Dă-mi un punct de plecare despre folosirea extensiei Pen pentru a desena un cerc.,hint_request,1
"Aș vrea un sfat despre cum se pot folosi variabilele 'pentru toate personajele', te rog frumos.",hint_request,0
"Nu-mi da soluția, ci doar un hint cum să folosesc un mesaj broadcast ca să pornesc nivelul 2 pentru proiectul meu.",hint_request,1
Aș vrea un sfat cum să verific dacă o cheie există într-un dicționar înainte de a o accesa.,hint_request,1
Poți să mă ajuți cu o idee despre cum să compar două șiruri de caractere fără strcmp fără să-mi arăți tot codul.,hint_request,1
Îmi poți da o mână de ajutor cu un hint cum să citesc un fișier CSV și să extrag doar o coloană anume. Vreau să înțeleg singur logica.,hint_request,1
Am nevoie de o sugestie pentru a schimba fundalul doar când scorul ajunge la 10.,hint_request,1
"Nu-mi da soluția, ci doar un hint referitor la modul de a trata excepțiile când utilizatorul introduce text în loc de cifre de nivel avansat, dacă se poate.",hint_request,1
Poți să mă ajuți cu o idee despre folosirea extensiei Pen pentru a desena un cerc.,hint_request,1
"Nu-mi da soluția, ci doar un hint pentru a găsi cel mai mare element dintr-un array printr-o funcție.",hint_request,1
"Dă-mi un indiciu pentru rezolvarea problemei palindromului fără a folosi slicing de nivel avansat, dacă se poate.",hint_request,1
Vreau doar o mică direcție despre cum se pot folosi variabilele 'pentru toate personajele'.,hint_request,0
"Nu-mi da soluția, ci doar un hint referitor la transmiterea unui array ca argument într-o funcție.",hint_request,1
"Nu-mi da soluția, ci doar un hint la lucrul cu librăria 'random' pentru a genera parole unice de nivel avansat, dacă se poate.",hint_request,1
Dă-mi un indiciu pentru a găsi cel mai mare element dintr-un array printr-o funcție.,hint_request,1
Dă-mi un punct de plecare pentru a inversa un string folosind o metodă recursivă fără să-mi arăți tot codul.,hint_request,2
