text_clean,label,label_id,difficulty,difficulty_name
"Uite cum stă treaba: cred că programarea nu e de mine, sunt prea praf Ce să fac să nu renunț?",motivation_or_encouragement,4,0,beginner
Ce este multiple inheritance?,concept_explanation,1,2,advanced
"Vreau să rezolv o problemă cu un sistem de securitate cu parolă pentru a debloca un fundal secret, te rog.",exercise_request,2,1,intermediate
care Ce înseamnă serialization?,concept_explanation,1,2,advanced
Ce face blocul în and wait ask Scratch?,concept_explanation,1,0,beginner
Ce este un fișier text ce anume vs un fișier binar?,concept_explanation,1,2,advanced
"Nu mai pot, există vreo șansă să învăț asta dacă nu am bazele din liceu?.",motivation_or_encouragement,4,0,beginner
Ce reprezintă JIT compilation (Just-In-Time)?,concept_explanation,1,2,advanced
Întâmpin o dificultate: am o eroare de link-editare (linker error) deși codul sursă nu are nicio eroare de sintaxă. Vreau să înțeleg unde greșesc.,code_help,0,2,advanced
Aș vrea un sfat la lucrul cu librăria random pentru a genera parole unice fără să-mi arăți tot codul.,hint_request,3,1,intermediate
"Vreau să fac un proiect care implică joc un de hide în seek unde personajul apare și dispare and locuri aleatorii, te rog.",exercise_request,2,0,beginner
"Vreau să fac un proiect care implică un algoritm care verifică dacă un an introdus este bisect sau nu, te rog.",exercise_request,2,1,intermediate
Codul meu se comportă ciudat: personajul meu la ce moment tremură când atinge un obstacol și nu se mai oprește din mișcare. Mersi mult la ce moment pentru timp!,code_help,0,0,beginner
Arată-mi cum arată codul final pentru rezolvarea completă pentru înmulțirea a două matrice.,solution_request,5,2,advanced
"Arată-mi de ce fel arată codul final pentru codul în C pentru determinarea dacă un șir de caractere este palindrom folosind pointeri, te rog, nu am timp să îl realizez singur.",solution_request,5,2,advanced
Vreau să rezolv o problemă cu pointeri script care inversează ordinea elementelor într-un folosind vector doar un cu explicații la final.,exercise_request,2,2,advanced
Vreau să văd varianta rezolvată a soluția pentru rezolvarea sistemelor de ecuații liniare prin metoda Gauss pentru a-l rula direct în compilator.,solution_request,5,2,advanced
Dă-mi un punct de plecare referitor la modul de citire al unui string cu spații folosind fgets.,hint_request,3,1,intermediate
"Vreau să rezolv o problemă cu un program care simulează aruncarea a două zaruri de 100 de ori și numără dublele, te rog.",exercise_request,2,1,intermediate
Ce este o variabilă statică în interiorul unei funcții?,concept_explanation,1,2,advanced
Arată-mi cum arată codul final pentru codul pentru un simulator de desenat poligoane regulate. Trebuie să îl predau mâine la școală.,solution_request,5,1,intermediate
"Ajutor cu eroarea asta: iau un segfault (segmentation fault) exact când încerc să atribui o valoare în array, deși am alocat memorie. Ce am greșit?",code_help,0,2,advanced
"Of, mă simt mega prost în ce moment văd că nu-mi iese nici cel mai simplu program Ce să fac să nu renunț?",motivation_or_encouragement,4,0,beginner
Scrie tu codul cap-coadă pentru codul pentru sortarea unui vector folosind Quicksort. Vreau doar să îi dau copy-paste.,solution_request,5,2,advanced
"M-am blocat la faza asta: am setat meu la 90 de grade, dar personajul Sunt merge în jos. direcția începător și mă depășește.",code_help,0,0,beginner
Am nevoie de scriptul întreg pentru implementarea unei căutări binare într-un vector sortat.,solution_request,5,2,advanced
care Ce înseamnă overloading la funcții?,concept_explanation,1,2,advanced
"Nu-mi da soluția, ci doar un hint referitor la transmiterea unui array ca argument într-o funcție pentru proiectul meu.",hint_request,3,1,intermediate
gravitate. să văd varianta rezolvată a scriptul pentru mișcarea personajului cu sărituri și Vreau Mersi mult!,solution_request,5,0,beginner
reprezintă un algoritm viața de zi cu zi?,concept_explanation,1,0,beginner
Uite cum stă treaba: mi se pare totul prea matematic și logic pentru cum gândesc eu Poți să mă ajuți să trec peste momentul ăsta?,motivation_or_encouragement,4,0,beginner
Ce este un care core dump?,concept_explanation,1,2,advanced
Dă-mi codul gata de care pentru scriptul complet pentru un personaj rulat urmărește un explicații fără să treacă prin pereți fără alte cursor inutile.,solution_request,5,0,beginner
Poți să-mi scrii rezolvarea pentru varianta finală a jocului în care trebuie să eviți obstacole pentru a-l rula direct în compilator.,solution_request,5,1,intermediate
verifică să fac un Vreau care implică un program în care un sprite întreabă tabla înmulțirii și proiect răspunsul (nivel începător).,exercise_request,2,0,beginner
Nu înțeleg eroarea în ce moment asta: cum fac să nu se mai suprapună sunetele în Scratch când apăs știu repede pe clape? Vreau să înțeleg unde greșesc.,code_help,0,0,beginner
nevoie de scriptul întreg pentru completă pentru înmulțirea a două matrice.,solution_request,5,2,advanced
Codul meu se comportă ciudat: cum accesez un membru dintr-un pointer către o structură fără să folosesc operatorul -? Orice sugestie e binevenită.,code_help,0,2,advanced
"Of, mi-am pierdut răbdarea, e a zecea oară în ce moment primesc aceeași eroare roșie.",motivation_or_encouragement,4,2,advanced
"Salut, am o problemă: consola afișează Memory Error imediat după ce introduc datele de intrare. Ce înseamnă? Ce am greșit?",code_help,0,2,advanced
"Mă simt groaznic, zici că e un zid în fața mea și nu pot să trec de el Ce să fac să nu renunț?",motivation_or_encouragement,4,2,advanced
Ce reprezintă fenomenul de stack overflow?,concept_explanation,1,2,advanced
Am nevoie de o încurajare: mi se pare totul prea matematic și logic pentru de ce fel gândesc eu.,motivation_or_encouragement,4,2,advanced
Am nevoie de o sugestie pentru a crea o mișcare fluidă stânga-dreapta fără să se întoarcă cu capul în jos pentru proiectul meu.,hint_request,3,1,intermediate
Poți să-mi scrii rezolvarea pentru cum fac un proiect întreg în care personajele comunică prin mesaje fără alte explicații inutile.,solution_request,5,0,beginner
"Codul meu are un bug: am pus blocul atunci la ce moment se dă clic pe acest sprite, dar nu se întâmplă nimic la ce moment apăs. Mersi anticipat!",code_help,0,0,beginner
Am nevoie de scriptul întreg pentru scriptul complet Mersi un personaj care urmărește pereți. cursor fără să treacă prin un pentru mult!,solution_request,5,0,beginner
Arată-mi cum arată codul final pentru soluția pentru rezolvarea sistemelor de ecuații liniare prin metoda Gauss. Trebuie să îl predau mâine la școală.,solution_request,5,2,advanced
Ce face Scratch? username în blocul,concept_explanation,1,0,beginner
Propune-mi o temă legată de un program care citește un fișier text și afișează cel mai lung cuvânt găsit pentru portofoliu.,exercise_request,2,1,intermediate
"Poți să mă ajuți cu o idee despre cum să trimit argumente variabile către o funcție (args) de nivel avansat, dacă se poate.",hint_request,3,1,intermediate
Arată-mi cum arată codul final pentru cum fac un proiect întreg în care personajele comunică prin mesaje.,solution_request,5,0,beginner
"Of, e frustrant să stai ore întregi pentru un fie și virgulă lipsă Spune-mi că o să punct bine.",motivation_or_encouragement,4,0,beginner
Scrie tu codul cap-coadă pentru codul sursă pentru implementarea unei liste simplu înlănțuite în cel mai scurt timp posibil.,solution_request,5,1,intermediate
Uite cum stă treaba: sunt la un pas de a renunța definitiv la cursul ăsta Poți mă să trec peste momentul ăsta?,motivation_or_encouragement,4,2,advanced
Ce reprezintă fluxul de date stderr?,concept_explanation,1,2,advanced
Ce înseamnă off-by-one error?,concept_explanation,1,1,intermediate
Aș vrea un sfat cum să convertesc un șir de caractere în număr întreg manual fără să-mi arăți tot codul.,hint_request,3,1,intermediate
Ai un task practic pentru un program care simulează aruncarea a două zaruri de 100 de ori și numără dublele care să fie distractiv.,exercise_request,2,1,intermediate
Ce face blocul distance to mouse-pointer?,concept_explanation,1,0,beginner
Propune-mi o temă legată de o cursă de mașini controlată de la tastele săgeți cu detectarea ieșirii de pe pistă pentru portofoliu.,exercise_request,2,1,intermediate
care Ce înseamnă duck typing?,concept_explanation,1,2,advanced
Codul meu se comportă ciudat: cum fac să nu se mai suprapună sunetele în Scratch când apăs repede pe clape? Nu știu ce să-i mai fac.,code_help,0,0,beginner
Am nevoie de o sugestie ca să fac un cronometru care scade în timp ce joc - nu știu ce funcție să folosesc aici.,hint_request,3,1,intermediate
Ai un task practic pentru un program care calculează transpusa unei matrice citite de la tastatură de dificultate medie.,exercise_request,2,2,advanced
E așa greu... sunt la un pas de a renunța definitiv la cursul ăsta Nu mai văd nicio soluție.,motivation_or_encouragement,4,1,intermediate
"Vreau să rezolv o problemă cu un script care inversează ordinea elementelor într-un vector folosind doar pointeri, te rog.",exercise_request,2,2,advanced
Cum funcționează un tablou bidimensional memorie?,concept_explanation,1,2,advanced
Vreau să rezolv o problemă cu un joc de tip în ce loc flappy bird simplificat unde personajul cade gravitațional fără a folosi funcții în care parte gata făcute.,exercise_request,2,0,beginner
"Nu-mi da soluția, ci doar un hint despre cum să trimit argumente variabile către o funcție (args) - nu știu ce funcție să folosesc aici.",hint_request,3,1,intermediate
Dă-mi un punct de plecare cum să citesc un fișier CSV și să extrag doar o coloană anume pentru că m-am blocat complet.,hint_request,3,1,intermediate
Codul meu are un bug: codul meu sare peste a doua citire de la tastatură și trece direct la final. Poți să te uiți pe codul meu?,code_help,0,1,intermediate
