text_clean,label,label_id,difficulty,difficulty_name
"Of, cred că programarea nu e de mine, sunt prea praf Ai vreun sfat pentru mine?",motivation_or_encouragement,4,2,advanced
Uite cum stă treaba: îmi vine să plâng de nervi că nu se compilează programul Ce să fac să nu renunț?,motivation_or_encouragement,4,1,intermediate
"Of, e frustrant să stai ore întregi pentru un punct și virgulă lipsă Spune-mi că o să fie bine.",motivation_or_encouragement,4,0,beginner
Ce face funcția scanf?,concept_explanation,1,1,intermediate
Am un bug ciudat: de ce primesc multiple definition of dacă am inclus fișierul .c în loc de .h? Este pentru un proiect școlar.,code_help,0,1,intermediate
"Ce reprezintă format specifiers (ex: s, d)?",concept_explanation,1,1,intermediate
Nu înțeleg eroarea asta: python îmi spune că tuple object has no attribute append. Cum adaug elemente? Sunt începător și mă depășește.,code_help,0,1,intermediate
Dă-mi un punct de plecare cum să folosesc un mesaj broadcast ca să pornesc nivelul 2 - nu știu ce funcție să folosesc aici.,hint_request,3,1,intermediate
Ce reprezintă garbage collection?,concept_explanation,1,2,advanced
"Nu-mi da soluția, ci doar un hint pentru rezolvarea problemei palindromului fără a folosi slicing. Vreau să înțeleg singur logica.",hint_request,3,1,intermediate
Vreau să fac un proiect care implică un script care inversează ordinea elementelor într-un vector folosind doar pointeri (nivel începător).,exercise_request,2,2,advanced
"Uite cum stă treaba: nu mai înțeleg nimic din ce scrie aici, parcă e chineză Poți să mă ajuți să trec peste momentul ăsta?",motivation_or_encouragement,4,0,beginner
Propune-mi o temă legată de un script care convertește temperatura din Celsius în Fahrenheit și invers pentru portofoliu.,exercise_request,2,1,intermediate
Nu înțeleg de ce de ce îmi dă eroare la printf în C dacă nu includ stdio.h? Poți să te uiți pe codul meu?,code_help,0,1,intermediate
"Salut, am o problemă: am făcut un sistem de vieți, dar scade câte 10 vieți deodată în loc de una singură. Ce am greșit?",code_help,0,1,intermediate
"Nu-mi da soluția, ci doar un hint la inversarea unei liste simplu înlănțuite.",hint_request,3,1,intermediate
Ai un task practic pentru un proiect în care un liliac urmărește un fluture folosind blocul glide pentru portofoliu.,exercise_request,2,1,intermediate
Scrie tu codul cap-coadă pentru codul sursă pentru implementarea unei liste simplu înlănțuite.,solution_request,5,1,intermediate
"Îmi poți da o mână de ajutor cu un hint despre cum se folosește un context manager (with open) pentru scrierea în fișiere, te rog frumos.",hint_request,3,1,intermediate
Propune-mi o temă legată de o implementare de listă simplu înlănțuită cu funcție de inserare la final pentru portofoliu.,exercise_request,2,1,intermediate
"Nu-mi da soluția, ci doar un hint pentru a crea o mișcare fluidă stânga-dreapta fără să se întoarcă cu capul în jos pentru proiectul meu.",hint_request,3,1,intermediate
Vreau să fac un proiect care implică un script care găsește frecvența de apariție a fiecărei cifre într-un număr lung care să fie distractiv.,exercise_request,2,1,intermediate
Arată-mi cum arată codul final pentru codul complet pentru un joc de tip Labirint în Scratch. Vreau doar să îi dau copy-paste.,solution_request,5,0,beginner
E așa greu... parcă fac un pas înainte și zece înapoi cu materia asta Ce să fac să nu renunț?,motivation_or_encouragement,4,1,intermediate
Ai un task practic pentru o aplicație consolă de tip To-Do List unde poți adăuga și șterge sarcini (nivel începător).,exercise_request,2,1,intermediate
Aș vrea să exersez o aplicație consolă de tip To-Do List unde poți adăuga și șterge sarcini cât mai repede.,exercise_request,2,1,intermediate
Am nevoie de scriptul întreg pentru rezolvarea pentru calcularea factorialului unui număr folosind recursivitatea.,solution_request,5,2,advanced
"Nu înțeleg eroarea asta: am setat direcția la 90 de grade, dar personajul meu merge în jos. Orice sugestie e binevenită.",code_help,0,0,beginner
Întrebare despre cod: rezultatul adunării este mereu cu 1 mai mic decât ar trebui să fie. Cred că e o eroare de indexare. Unde este eroarea?,code_help,0,1,intermediate
Nu înțeleg de ce de ce primesc eroarea stack overflow chiar dacă funcția mea are o condiție de oprire? Ce am greșit?,code_help,0,2,advanced
M-am blocat la faza asta: personajul meu tremură când atinge un obstacol și nu se mai oprește din mișcare. Vreau să înțeleg unde greșesc.,code_help,0,0,beginner
"Salut, am o problemă: am încercat să folosesc free() pe un pointer, dar programul crapă cu mesajul double free or corruption. Unde este eroarea?",code_help,0,2,advanced
Îmi poți da o mână de ajutor cu un hint cum să aloc dinamic memorie pentru un vector de structuri. Vreau să înțeleg singur logica.,hint_request,3,2,advanced
"Am scris codul acesta și în loc de text, în consolă apar doar niște pătrățele și simboluri ciudate. Îmi poți explica de ce?",code_help,0,1,intermediate
"Mă simt groaznic, mi-am pierdut răbdarea, e a zecea oară când primesc aceeași eroare roșie Ai vreun sfat pentru mine?",motivation_or_encouragement,4,1,intermediate
Am un bug ciudat: de ce realloc îmi dă crash dacă dimensiunea nouă este mai mică decât cea veche? Se poate rezolva fără a rescrie tot?,code_help,0,2,advanced
"Sincer, chiar merită tot efortul ăsta? simt că nu progresez deloc.",motivation_or_encouragement,4,1,intermediate
"Întrebare despre cod: am pus blocul atunci când se dă clic pe acest sprite, dar nu se întâmplă nimic când apăs. Nu găsesc rezolvarea pe Google.",code_help,0,0,beginner
"Întrebare despre cod: media aritmetică îmi dă mereu 0 sau 1, chiar dacă numerele sunt mari. E ceva cu tipul de date? E frustrant, ajutor!",code_help,0,1,intermediate
Nu înțeleg de ce consola afișează Memory Error imediat după ce introduc datele de intrare. Ce înseamnă? Cum pot repara asta?,code_help,0,2,advanced
Am nevoie de scriptul întreg pentru scriptul în C pentru citirea și afișarea elementelor unei structuri de tip angajat. Vreau doar să îi dau copy-paste.,solution_request,5,1,intermediate
Ce face blocul clear graphic effects?,concept_explanation,1,0,beginner
Ce este lexical scope?,concept_explanation,1,2,advanced
Ce face blocul username în Scratch?,concept_explanation,1,0,beginner
"M-am blocat aici: de ce bucla while nu se oprește niciodată, deși am incrementat variabila de control? Poți să te uiți pe codul meu?",code_help,0,1,intermediate
"Of, nu mai înțeleg nimic din ce scrie aici, parcă e chineză E normal să mă simt așa la început?",motivation_or_encouragement,4,2,advanced
"Întrebare despre cod: ce înseamnă NameError: name x is not defined dacă am declarat variabila mai sus? E frustrant, ajutor!",code_help,0,1,intermediate
