text,label,difficulty
Dă-mi un exercițiu despre un algoritm care verifică dacă un an introdus este bisect sau nu (nivel începător).,exercise_request,1
Aș vrea să exersez o aplicație care citește un număr și afișează reprezentarea lui în binar fără a folosi funcții gata făcute.,exercise_request,1
Aș vrea să exersez o aplicație consolă de tip 'To-Do List' unde poți adăuga și șterge sarcini fără a folosi funcții gata făcute.,exercise_request,1
"Dă-mi un exercițiu despre un sistem de securitate cu parolă pentru a debloca un fundal secret, te rog.",exercise_request,1
Poți să-mi dai o provocare cu o animație cu un personaj care merge și își schimbă costumul la fiecare pas de dificultate medie.,exercise_request,0
Propune-mi o temă legată de o funcție care verifică dacă două șiruri de caractere sunt anagrame pentru portofoliu.,exercise_request,1
"Vreau să rezolv o problemă cu un proiect în care un liliac urmărește un fluture folosind blocul 'glide', te rog.",exercise_request,1
"Dă-mi ceva de programat: un joc de tip 'flappy bird' simplificat unde personajul cade gravitațional, te rog.",exercise_request,0
"Vreau să fac un proiect care implică un algoritm care verifică dacă un an introdus este bisect sau nu, te rog.",exercise_request,1
Vreau să rezolv o problemă cu un program în care un sprite întreabă tabla înmulțirii și verifică răspunsul fără a folosi funcții gata făcute.,exercise_request,0
"Vreau să rezolv o problemă cu un program care simulează aruncarea a două zaruri de 100 de ori și numără dublele, te rog.",exercise_request,1
Vreau să rezolv o problemă cu un validator de parole care verifică lungimea și prezența caracterelor speciale fără a folosi funcții gata făcute.,exercise_request,1
Aș vrea să exersez un script care inversează ordinea elementelor într-un vector folosind doar pointeri fără a folosi funcții gata făcute.,exercise_request,2
Propune-mi o temă legată de un utilitar care concatenează două fișiere text într-un al treilea fără a folosi funcții gata făcute.,exercise_request,1
Dă-mi un exercițiu despre un program care verifică dacă o matrice este rară (conține majoritar zerouri) (nivel începător).,exercise_request,2
"Dă-mi un exercițiu despre un proiect care generează forme geometrice (triunghi, cerc) la cererea utilizatorului care să fie distractiv.",exercise_request,1
Dă-mi un exercițiu despre o aplicație care citește un număr și afișează reprezentarea lui în binar (nivel începător).,exercise_request,1
Ai un task practic pentru un algoritm care verifică dacă un an introdus este bisect sau nu cât mai repede.,exercise_request,1
Dă-mi ceva de programat: o animație cu un personaj care merge și își schimbă costumul la fiecare pas de dificultate medie.,exercise_request,0
