text,label,difficulty
Ce reprezintă un algoritm în viața de zi cu zi?,concept_explanation,0
Explică conceptul de variabilă ca pe un container,concept_explanation,0
Ce înseamnă că Python este un limbaj interpretat?,concept_explanation,1
Care este rolul compilatorului în limbajul C?,concept_explanation,1
Ce reprezintă tipul de date 'double' față de 'float'?,concept_explanation,1
Ce este un pointer de memorie?,concept_explanation,2
Cum funcționează alocarea dinamică a memoriei?,concept_explanation,2
Ce este o structură de tip coadă (queue)?,concept_explanation,2
Ce reprezintă indentarea în codul sursă?,concept_explanation,0
Ce este o funcție și la ce folosește?,concept_explanation,1
Ce înseamnă recursivitatea în programare?,concept_explanation,2
Ce face operatorul modulo (%)?,concept_explanation,1
Ce este un șir de caractere (string)?,concept_explanation,0
Ce reprezintă o clasă în programarea pe obiecte?,concept_explanation,2
Ce este un obiect și cum se instanțiază?,concept_explanation,2
Ce înseamnă valoarea NULL sau nullptr?,concept_explanation,1
Ce este un comentariu și de ce este important?,concept_explanation,0
Cum funcționează listele în Python?,concept_explanation,1
Ce este o bibliotecă (library) în C?,concept_explanation,1
Ce reprezintă un fișier de tip Header (.h)?,concept_explanation,2
Ce este codul binar?,concept_explanation,0
Ce face instrucțiunea 'switch-case'?,concept_explanation,1
Diferența dintre pasarea prin valoare și prin referință,concept_explanation,2
Ce este un eveniment în Scratch?,concept_explanation,0
Ce face blocul 'difuzează' (broadcast) în Scratch?,concept_explanation,0
Ce reprezintă o condiție logică?,concept_explanation,0
Ce sunt operatorii de comparare?,concept_explanation,0
Ce este o variabilă globală?,concept_explanation,1
Ce reprezintă 'garbage collection'?,concept_explanation,2
Ce este un dicționar în Python?,concept_explanation,1
Ce înseamnă indexarea de la zero?,concept_explanation,0
Ce este un tuplu?,concept_explanation,1
Care este diferența dintre bit și byte?,concept_explanation,0
Ce face comanda 'return' într-o funcție?,concept_explanation,1
Ce este un parametru formal?,concept_explanation,2
Ce este o eroare de sintaxă?,concept_explanation,0
Ce este o eroare de execuție (runtime error)?,concept_explanation,1
Ce înseamnă o buclă infinită?,concept_explanation,1
Ce este un vector (array)?,concept_explanation,0
Ce reprezintă complexitatea timp a unui algoritm?,concept_explanation,2
Ce este o matrice?,concept_explanation,1
"Ce sunt operatorii logici AND, OR, NOT?",concept_explanation,0
Ce este un pointer la o structură?,concept_explanation,2
De ce funcția main returnează un întreg în C?,concept_explanation,1
Ce face blocul 'repetă până când' în Scratch?,concept_explanation,0
Ce reprezintă coordonatele cartesiene în Scratch?,concept_explanation,0
Ce este un 'sprite'?,concept_explanation,0
Ce înseamnă conversia de tip (casting)?,concept_explanation,2
Ce este o listă înlănțuită?,concept_explanation,2
Ce reprezintă un algoritm de sortare?,concept_explanation,1
Ce este notația Big O?,concept_explanation,2
Ce reprezintă un tip de date întreg (int)?,concept_explanation,0
Ce este un caracter (char)?,concept_explanation,0
Ce face funcția 'scanf'?,concept_explanation,1
Ce face funcția 'print'?,concept_explanation,0
Ce este un prototip de funcție?,concept_explanation,2
Ce înseamnă 'hardcoding'?,concept_explanation,1
Ce este un debugger?,concept_explanation,1
Ce reprezintă un IDE?,concept_explanation,0
Ce înseamnă 'case sensitivity'?,concept_explanation,0
Diferența dintre camelCase și snake_case,concept_explanation,1
Ce este un f-string în Python?,concept_explanation,1
Ce este un pointer de tip void?,concept_explanation,2
Ce reprezintă o structură (struct) în C?,concept_explanation,1
"Ce face blocul 'dacă atingi marginea, ricoșează'?",concept_explanation,0
Ce este un costum în Scratch?,concept_explanation,0
Ce sunt buclele imbricate?,concept_explanation,2
Ce este o metodă într-o clasă?,concept_explanation,2
Ce face un constructor?,concept_explanation,2
Ce reprezintă moștenirea în OOP?,concept_explanation,2
Ce face operatorul de incrementare (++)?,concept_explanation,1
Ce este dereferențierea?,concept_explanation,2
Ce este un fișier text vs un fișier binar?,concept_explanation,2
Ce reprezintă secvențele escape (ex: \n)?,concept_explanation,1
Ce este un operator ternar?,concept_explanation,2
Ce este fluxul standard de intrare (stdin)?,concept_explanation,1
Ce face funcția input()?,concept_explanation,0
Ce sunt blocurile de control?,concept_explanation,0
Ce este o clonă în Scratch?,concept_explanation,1
Ce înseamnă o funcție de tip void?,concept_explanation,1
Ce este un argument al unei funcții?,concept_explanation,1
Ce reprezintă fenomenul de stack overflow?,concept_explanation,2
Ce este integer overflow?,concept_explanation,2
Ce este sistemul hexazecimal?,concept_explanation,2
Ce înseamnă refactorizarea codului?,concept_explanation,2
Ce este un 'bug' informatic?,concept_explanation,0
Ce este un docstring?,concept_explanation,1
Ce face instrucțiunea 'break'?,concept_explanation,1
Ce face instrucțiunea 'continue'?,concept_explanation,1
Ce este standardul PEP 8?,concept_explanation,2
Ce sunt directivele preprocesor (#include)?,concept_explanation,2
Ce este biblioteca stdio.h?,concept_explanation,1
Ce înseamnă programare asincronă?,concept_explanation,2
Ce este un API?,concept_explanation,2
Ce reprezintă managementul memoriei?,concept_explanation,2
Ce este un operand?,concept_explanation,1
Ce reprezintă precedența operatorilor?,concept_explanation,1
Ce este un link-editor (linker)?,concept_explanation,2
Ce face blocul 'creează o clonă'?,concept_explanation,1
Ce este o variabilă locală?,concept_explanation,1
Ce reprezintă o variabilă de tip boolean?,concept_explanation,0
Care este diferența dintre 'print' și 'return'?,concept_explanation,1
Ce este un mediu de dezvoltare integrat (IDE)?,concept_explanation,0
Explică conceptul de 'loop nesting' (bucle în bucle),concept_explanation,2
Ce reprezintă instrucțiunea 'if-else'?,concept_explanation,0
Ce este un operand într-o expresie matematică?,concept_explanation,1
Ce înseamnă că un limbaj este 'statically typed'?,concept_explanation,2
Ce este un 'tuple' în Python și prin ce diferă de o listă?,concept_explanation,1
Ce este un fișier executabil?,concept_explanation,0
Ce reprezintă 'standard library'?,concept_explanation,1
Ce este o constantă simbolică (ex: #define)?,concept_explanation,1
Cum funcționează un tablou bidimensional în memorie?,concept_explanation,2
Ce este o eroare de compilare?,concept_explanation,0
Ce face blocul 'atunci când se dă clic pe steguleț'?,concept_explanation,0
Ce este un 'argument' de linie de comandă?,concept_explanation,2
