text,label,difficulty
Arată-mi cum arată codul final pentru scriptul pentru mișcarea personajului cu sărituri și gravitate fără alte explicații inutile.,solution_request,0
Vreau soluția completă pentru proiectul gata făcut pentru un ceas digital în Scratch.,solution_request,0
Scrie tu codul cap-coadă pentru codul sursă pentru implementarea unei liste simplu înlănțuite. Vreau doar să îi dau copy-paste.,solution_request,1
Dă-mi soluția directă pentru scriptul pentru un bot de Telegram simplu care răspunde la comenzi.,solution_request,1
Scrie tu codul cap-coadă pentru codul în C pentru determinarea dacă un șir de caractere este palindrom folosind pointeri. Trebuie să îl predau mâine la școală.,solution_request,2
Am nevoie de scriptul întreg pentru rezolvarea pentru un joc cu scor și vieți care se resetează.,solution_request,1
Arată-mi cum arată codul final pentru implementarea unui sistem de gestiune a stocurilor folosind fișiere binare. Vreau doar să îi dau copy-paste.,solution_request,2
Scrie tu codul cap-coadă pentru codul sursă pentru un program care inversează un șir de caractere în memorie.,solution_request,1
Poți să-mi scrii rezolvarea pentru rezolvarea completă pentru calcularea mediei ponderate a unor note. Mersi mult!,solution_request,1
Poți să-mi scrii rezolvarea pentru codul complet pentru un joc de tip Labirint în Scratch. Mersi mult!,solution_request,0
Vreau să văd varianta rezolvată a codul pentru o aplicație de tip calculator cu operații de bază.,solution_request,1
Dă-mi codul gata de rulat pentru rezolvarea exercițiului cu generarea numerelor prime până la un n dat pentru a-l rula direct în compilator.,solution_request,1
Poți să-mi scrii rezolvarea pentru codul complet pentru un joc de tip Labirint în Scratch pentru a-l rula direct în compilator.,solution_request,0
Vreau să văd varianta rezolvată a scriptul pentru un bot de Telegram simplu care răspunde la comenzi fără alte explicații inutile.,solution_request,1
Am nevoie de scriptul întreg pentru implementarea unei structuri de date de tip stivă în Python. Trebuie să îl predau mâine la școală.,solution_request,1
Dă-mi codul gata de rulat pentru implementarea unei funcții care să găsească cel mai mare divizor comun folosind algoritmul lui Euclid fără alte explicații inutile.,solution_request,1
Arată-mi cum arată codul final pentru codul pentru un simulator de desenat poligoane regulate. Mersi mult!,solution_request,1
Dă-mi soluția directă pentru codul pentru un simulator de desenat poligoane regulate.,solution_request,1
Vreau să văd varianta rezolvată a varianta finală a jocului în care trebuie să eviți obstacole. Sunt blocat de ore întregi și am nevoie de cod.,solution_request,1
Am nevoie de scriptul întreg pentru codul sursă pentru rezolvarea ecuației de gradul 2 pentru a-l rula direct în compilator.,solution_request,1
Dă-mi codul gata de rulat pentru codul pentru o aplicație de tip calculator cu operații de bază. Sunt blocat de ore întregi și am nevoie de cod.,solution_request,1
Poți să-mi scrii rezolvarea pentru implementarea unei căutări binare într-un vector sortat.,solution_request,2
Arată-mi cum arată codul final pentru implementarea unei căutări binare într-un vector sortat.,solution_request,2
Poți să-mi scrii rezolvarea pentru implementarea completă a algoritmului de sortare prin selecție.,solution_request,1
Poți să-mi scrii rezolvarea pentru codul sursă pentru rezolvarea ecuației de gradul 2. Sunt blocat de ore întregi și am nevoie de cod.,solution_request,1
Scrie tu codul cap-coadă pentru implementarea unei structuri de date de tip stivă în Python. Trebuie să îl predau mâine la școală.,solution_request,1
Am nevoie de scriptul întreg pentru codul pentru o aplicație de tip calculator cu operații de bază.,solution_request,1
Am nevoie de scriptul întreg pentru codul pentru un sistem de schimbare a nivelurilor bazat pe punctaj.,solution_request,1
Arată-mi cum arată codul final pentru codul sursă pentru un program care inversează un șir de caractere în memorie.,solution_request,1
Dă-mi codul gata de rulat pentru rezolvarea pentru un joc cu scor și vieți care se resetează.,solution_request,1
Scrie tu codul cap-coadă pentru varianta finală a jocului în care trebuie să eviți obstacole. Mersi mult!,solution_request,1
Scrie tu codul cap-coadă pentru codul în C pentru determinarea dacă un șir de caractere este palindrom folosind pointeri.,solution_request,2
Dă-mi codul gata de rulat pentru codul în C pentru determinarea dacă un șir de caractere este palindrom folosind pointeri.,solution_request,2
Dă-mi soluția directă pentru scriptul pentru un bot de Telegram simplu care răspunde la comenzi în cel mai scurt timp posibil.,solution_request,1
Vreau să văd varianta rezolvată a rezolvarea completă pentru calcularea mediei ponderate a unor note pentru a-l rula direct în compilator.,solution_request,1
Vreau soluția completă pentru scriptul Python care să îmi parseze un fișier XML și să salveze datele în JSON. Vreau doar să îi dau copy-paste.,solution_request,1
Dă-mi soluția directă pentru scriptul complet pentru un personaj care urmărește un cursor fără să treacă prin pereți.,solution_request,0
Scrie tu codul cap-coadă pentru implementarea unei structuri de date de tip stivă în Python. Vreau doar să îi dau copy-paste.,solution_request,1
Scrie tu codul cap-coadă pentru soluția pentru rezolvarea sistemelor de ecuații liniare prin metoda Gauss. Vreau doar să îi dau copy-paste.,solution_request,2
Arată-mi cum arată codul final pentru scriptul pentru mișcarea personajului cu sărituri și gravitate. Sunt blocat de ore întregi și am nevoie de cod.,solution_request,0
"Arată-mi cum arată codul final pentru codul pentru a inversa un cuvânt fără a folosi slice-uri, te rog, nu am timp să îl fac singur.",solution_request,1
Am nevoie de scriptul întreg pentru implementarea unei funcții care să găsească cel mai mare divizor comun folosind algoritmul lui Euclid. Sunt blocat de ore întregi și am nevoie de cod.,solution_request,1
"Dă-mi soluția directă pentru codul pentru un simulator de desenat poligoane regulate, te rog, nu am timp să îl fac singur.",solution_request,1
Vreau să văd varianta rezolvată a codul pentru un simulator de desenat poligoane regulate. Mersi mult!,solution_request,1
Arată-mi cum arată codul final pentru implementarea unei structuri de date de tip stivă în Python.,solution_request,1
Poți să-mi scrii rezolvarea pentru codul sursă pentru implementarea unei liste simplu înlănțuite.,solution_request,1
Poți să-mi scrii rezolvarea pentru rezolvarea pentru calcularea factorialului unui număr folosind recursivitatea.,solution_request,2
Vreau să văd varianta rezolvată a codul pentru sortarea unui vector folosind Quicksort. Vreau doar să îi dau copy-paste.,solution_request,2
Arată-mi cum arată codul final pentru implementarea unui sistem de gestiune a stocurilor folosind fișiere binare.,solution_request,2
Vreau să văd varianta rezolvată a codul sursă pentru un program care inversează un șir de caractere în memorie.,solution_request,1
Vreau să văd varianta rezolvată a soluția pentru rezolvarea sistemelor de ecuații liniare prin metoda Gauss pentru a-l rula direct în compilator.,solution_request,2
Am nevoie de scriptul întreg pentru scriptul Python care să îmi parseze un fișier XML și să salveze datele în JSON pentru a-l rula direct în compilator.,solution_request,1
Am nevoie de scriptul întreg pentru scriptul pentru un bot de Telegram simplu care răspunde la comenzi în cel mai scurt timp posibil.,solution_request,1
Dă-mi codul gata de rulat pentru implementarea unei funcții care să găsească cel mai mare divizor comun folosind algoritmul lui Euclid. Trebuie să îl predau mâine la școală.,solution_request,1
Arată-mi cum arată codul final pentru codul pentru un sistem de schimbare a nivelurilor bazat pe punctaj. Trebuie să îl predau mâine la școală.,solution_request,1
Poți să-mi scrii rezolvarea pentru codul pentru un simulator de desenat poligoane regulate.,solution_request,1
Vreau soluția completă pentru codul sursă pentru rezolvarea ecuației de gradul 2.,solution_request,1
Am nevoie de scriptul întreg pentru proiectul gata făcut pentru un ceas digital în Scratch. Mersi mult!,solution_request,0
Dă-mi codul gata de rulat pentru codul pentru un simulator de desenat poligoane regulate.,solution_request,1
Poți să-mi scrii rezolvarea pentru implementarea unui sistem de gestiune a stocurilor folosind fișiere binare pentru a-l rula direct în compilator.,solution_request,2
Vreau soluția completă pentru scriptul Python care să îmi parseze un fișier XML și să salveze datele în JSON.,solution_request,1
Arată-mi cum arată codul final pentru scriptul în C pentru citirea și afișarea elementelor unei structuri de tip angajat.,solution_request,1
Arată-mi cum arată codul final pentru codul pentru un sistem de schimbare a nivelurilor bazat pe punctaj.,solution_request,1
Vreau să văd varianta rezolvată a implementarea completă a algoritmului de sortare prin selecție în cel mai scurt timp posibil.,solution_request,1
Vreau să văd varianta rezolvată a rezolvarea completă pentru înmulțirea a două matrice în cel mai scurt timp posibil.,solution_request,2
Vreau soluția completă pentru codul pentru o aplicație de tip calculator cu operații de bază. Vreau doar să îi dau copy-paste.,solution_request,1
Dă-mi soluția directă pentru rezolvarea completă pentru calcularea mediei ponderate a unor note.,solution_request,1
Vreau să văd varianta rezolvată a scriptul pentru un bot de Telegram simplu care răspunde la comenzi. Vreau doar să îi dau copy-paste.,solution_request,1
Am nevoie de scriptul întreg pentru implementarea unei căutări binare într-un vector sortat.,solution_request,2
Am nevoie de scriptul întreg pentru soluția pentru rezolvarea sistemelor de ecuații liniare prin metoda Gauss fără alte explicații inutile.,solution_request,2
Vreau să văd varianta rezolvată a rezolvarea completă pentru calcularea mediei ponderate a unor note.,solution_request,1
Dă-mi soluția directă pentru codul sursă pentru implementarea unei liste simplu înlănțuite.,solution_request,1
Dă-mi soluția directă pentru implementarea unei funcții care să găsească cel mai mare divizor comun folosind algoritmul lui Euclid.,solution_request,1
Scrie tu codul cap-coadă pentru implementarea unei funcții care să găsească cel mai mare divizor comun folosind algoritmul lui Euclid. Vreau doar să îi dau copy-paste.,solution_request,1
Dă-mi codul gata de rulat pentru scriptul pentru un bot de Telegram simplu care răspunde la comenzi. Mersi mult!,solution_request,1
Am nevoie de scriptul întreg pentru codul sursă pentru un program care inversează un șir de caractere în memorie. Sunt blocat de ore întregi și am nevoie de cod.,solution_request,1
"Dă-mi codul gata de rulat pentru rezolvarea pentru calcularea factorialului unui număr folosind recursivitatea, te rog, nu am timp să îl fac singur.",solution_request,2
Vreau să văd varianta rezolvată a implementarea completă a algoritmului de sortare prin selecție. Sunt blocat de ore întregi și am nevoie de cod.,solution_request,1
Scrie tu codul cap-coadă pentru codul pentru sortarea unui vector folosind Quicksort.,solution_request,2
Vreau soluția completă pentru scriptul pentru mișcarea personajului cu sărituri și gravitate. Trebuie să îl predau mâine la școală.,solution_request,0
"Dă-mi codul gata de rulat pentru proiectul gata făcut pentru un ceas digital în Scratch, te rog, nu am timp să îl fac singur.",solution_request,0
Vreau să văd varianta rezolvată a soluția pentru rezolvarea sistemelor de ecuații liniare prin metoda Gauss. Mersi mult!,solution_request,2
Arată-mi cum arată codul final pentru soluția pentru rezolvarea sistemelor de ecuații liniare prin metoda Gauss fără alte explicații inutile.,solution_request,2
Am nevoie de scriptul întreg pentru scriptul în C pentru citirea și afișarea elementelor unei structuri de tip angajat. Mersi mult!,solution_request,1
Am nevoie de scriptul întreg pentru proiectul gata făcut pentru un ceas digital în Scratch.,solution_request,0
Am nevoie de scriptul întreg pentru codul pentru sortarea unui vector folosind Quicksort. Trebuie să îl predau mâine la școală.,solution_request,2
Am nevoie de scriptul întreg pentru varianta finală a jocului în care trebuie să eviți obstacole.,solution_request,1
Arată-mi cum arată codul final pentru rezolvarea pentru un joc cu scor și vieți care se resetează.,solution_request,1
Vreau să văd varianta rezolvată a implementarea completă a algoritmului de sortare prin selecție pentru a-l rula direct în compilator.,solution_request,1
Scrie tu codul cap-coadă pentru rezolvarea exercițiului cu generarea numerelor prime până la un n dat.,solution_request,1
Dă-mi codul gata de rulat pentru rezolvarea pentru calcularea factorialului unui număr folosind recursivitatea.,solution_request,2
Am nevoie de scriptul întreg pentru soluția pentru rezolvarea sistemelor de ecuații liniare prin metoda Gauss.,solution_request,2
Dă-mi soluția directă pentru soluția pentru rezolvarea sistemelor de ecuații liniare prin metoda Gauss. Vreau doar să îi dau copy-paste.,solution_request,2
Poți să-mi scrii rezolvarea pentru codul sursă pentru un program care inversează un șir de caractere în memorie.,solution_request,1
Scrie tu codul cap-coadă pentru scriptul pentru mișcarea personajului cu sărituri și gravitate.,solution_request,0
Dă-mi codul gata de rulat pentru rezolvarea exercițiului cu generarea numerelor prime până la un n dat.,solution_request,1
Scrie tu codul cap-coadă pentru codul pentru un sistem de schimbare a nivelurilor bazat pe punctaj.,solution_request,1
Vreau să văd varianta rezolvată a rezolvarea pentru un joc cu scor și vieți care se resetează.,solution_request,1
Arată-mi cum arată codul final pentru scriptul complet pentru un personaj care urmărește un cursor fără să treacă prin pereți.,solution_request,0
Dă-mi codul gata de rulat pentru scriptul Python care să îmi parseze un fișier XML și să salveze datele în JSON.,solution_request,1
Arată-mi cum arată codul final pentru rezolvarea pentru un joc cu scor și vieți care se resetează. Vreau doar să îi dau copy-paste.,solution_request,1
Am nevoie de scriptul întreg pentru codul complet pentru un joc de tip Labirint în Scratch. Vreau doar să îi dau copy-paste.,solution_request,0
Dă-mi soluția directă pentru codul sursă pentru implementarea unei liste simplu înlănțuite. Sunt blocat de ore întregi și am nevoie de cod.,solution_request,1
Scrie tu codul cap-coadă pentru codul pentru sortarea unui vector folosind Quicksort. Vreau doar să îi dau copy-paste.,solution_request,2
