text,label,difficulty
"Mă simt groaznic, nu cred că o să fiu capabil vreodată să lucrez în domeniu.",motivation_or_encouragement,0
E frustrant să stai ore întregi pentru un punct și virgulă lipsă...,motivation_or_encouragement,1
"E așa greu... îmi place informatica, dar problemele astea mă fac să mă simt inutil Ce să fac să nu renunț?",motivation_or_encouragement,1
Zici că e un zid în fața mea și nu pot să trec de el...,motivation_or_encouragement,1
"Mă simt groaznic, sunt la un pas de a renunța definitiv la cursul ăsta Ce să fac să nu renunț?",motivation_or_encouragement,0
Mă simt mega prost când văd că nu-mi iese nici cel mai simplu cod...,motivation_or_encouragement,0
"Of, mi-am pierdut răbdarea, e a zecea oară când primesc aceeași eroare roșie.",motivation_or_encouragement,2
"Salut, mi se pare totul prea matematic și logic pentru cum gândesc eu Nu mai văd nicio soluție.",motivation_or_encouragement,2
"Mă simt groaznic, cred că programarea nu e de mine, sunt prea praf.",motivation_or_encouragement,2
"Salut, mă simt copleșit de atâtea concepte noi într-un timp atât de scurt Mai are rost să continui?",motivation_or_encouragement,2
"Salut, cred că programarea nu e de mine, sunt prea praf Spune-mi că o să fie bine.",motivation_or_encouragement,1
"Sincer, e frustrant să stai ore întregi pentru un punct și virgulă lipsă.",motivation_or_encouragement,1
"Am creierul prăjit, nu mai pot să procesez nici măcar un 'if'...",motivation_or_encouragement,0
"Sincer, mi-am pierdut răbdarea, e a zecea oară când primesc aceeași eroare roșie.",motivation_or_encouragement,0
"Salut, toate liniile de cod se amestecă în capul meu acum.",motivation_or_encouragement,1
"Nu mai pot, îmi place informatica, dar problemele astea mă fac să mă simt inutil.",motivation_or_encouragement,2
"Sincer, am creierul prăjit, nu mai pot să procesez nici măcar un 'if'.",motivation_or_encouragement,2
Uite cum stă treaba: parcă fac un pas înainte și zece înapoi cu materia asta.,motivation_or_encouragement,1
"Am nevoie de o încurajare: nu mai înțeleg nimic din ce scrie aici, parcă e chineză Ce să fac să nu renunț?",motivation_or_encouragement,2
"Nu mai pot, toate liniile de cod se amestecă în capul meu acum Simt că o iau razna.",motivation_or_encouragement,2
"Îmi place informatica, dar problemele astea mă fac să mă simt inutil...",motivation_or_encouragement,0
"Uite cum stă treaba: îmi place informatica, dar problemele astea mă fac să mă simt inutil.",motivation_or_encouragement,1
"Sincer, îmi vine să plâng de nervi că nu se compilează programul Poți să mă ajuți să trec peste momentul ăsta?",motivation_or_encouragement,1
Am nevoie de o încurajare: mă chinui de trei ore cu bug-ul ăsta și îmi vine să arunc laptopul pe geam Poți să mă ajuți să trec peste momentul ăsta?,motivation_or_encouragement,1
"Sincer, zici că e un zid în fața mea și nu pot să trec de el Spune-mi că o să fie bine.",motivation_or_encouragement,1
"Sincer, toți colegii mei par să înțeleagă, doar eu am rămas în urmă Nu mai văd nicio soluție.",motivation_or_encouragement,1
"Nu mai pot, sunt la un pas de a renunța definitiv la cursul ăsta Mai are rost să continui?",motivation_or_encouragement,1
"Salut, îmi vine să plâng de nervi că nu se compilează programul Nu mai văd nicio soluție.",motivation_or_encouragement,1
"Of, toți colegii mei par să înțeleagă, doar eu am rămas în urmă.",motivation_or_encouragement,1
"Nu mai pot, există vreo șansă să învăț asta dacă nu am bazele din liceu?.",motivation_or_encouragement,0
"Of, mă chinui de trei ore cu bug-ul ăsta și îmi vine să arunc laptopul pe geam Ai vreun sfat pentru mine?",motivation_or_encouragement,2
"Sincer, parcă fac un pas înainte și zece înapoi cu materia asta.",motivation_or_encouragement,0
Există vreo șansă să învăț asta dacă nu am bazele din liceu?...,motivation_or_encouragement,0
"Sincer, există vreo șansă să învăț asta dacă nu am bazele din liceu?.",motivation_or_encouragement,1
